0,1,27,51,63,59,60
0,2,70,47,34,69,62
0,3,98,91,38,39,14
0,4,1,31,49,93,28
0,5,88,5,41,66,12
0,6,59,37,38,49,88
0,7,36,97,39,84,48
0,8,61,32,27,36,30
0,9,31,83,61,80,74
0,10,31,3,96,36,61
0,11,2,73,14,36,50
0,12,74,30,28,98,98
0,13,88,21,80,68,27
0,14,93,34,65,14,36
0,15,42,58,59,99,45
0,16,31,53,94,30,55
0,17,34,29,30,33,69
0,18,93,92,8,72,7
0,19,55,69,55,39,33
0,20,58,18,7,30,75
0,21,45,45,6,17,43
0,22,29,21,89,92,73
0,23,66,95,38,32,90
0,24,66,98,61,57,75
0,25,20,80,27,9,18
0,26,47,1,11,51,42
0,27,6,46,63,9,14
0,28,39,40,26,34,0
0,29,57,88,29,63,18
0,30,95,82,30,9,67
0,31,49,20,65,45,33
0,32,93,83,22,89,69
0,33,23,65,93,60,4
0,34,87,17,11,63,64
0,35,78,9,45,80,94
0,36,30,69,43,41,14
0,37,27,60,44,18,59
0,38,21,36,59,6,97
0,39,91,65,64,85,85
0,40,93,78,41,73,90
0,41,81,35,17,1,81
0,42,11,23,27,59,48
0,43,85,23,49,63,24
0,44,8,46,9,19,99
0,45,40,14,44,70,34
0,46,96,82,17,72,63
0,47,80,22,79,50,44
0,48,29,6,63,97,94
0,49,26,2,14,55,61
0,50,55,29,5,24,60
0,51,14,89,71,37,77
0,52,68,35,34,88,57
0,53,35,67,94,91,11
0,54,68,91,94,38,42
0,55,7,31,99,89,80
0,56,75,33,66,89,66
0,57,46,63,88,57,92
0,58,71,13,52,15,94
0,59,21,92,30,95,86
0,60,56,27,42,90,71
0,61,30,16,38,97,15
0,62,46,98,67,51,70
0,63,52,60,49,18,81
0,64,84,53,12,24,7
0,65,82,51,38,9,40
0,66,61,11,84,2,95
0,67,84,92,35,78,27
0,68,85,53,33,55,64
0,69,46,91,24,51,54
0,70,41,48,43,84,23
0,71,32,77,91,16,88
0,72,40,88,97,18,99
0,73,3,83,64,64,48
0,74,16,5,75,99,89
0,75,78,12,18,6,52
0,76,43,11,10,62,36
0,77,73,63,93,31,67
0,78,73,44,49,41,66
0,79,68,18,52,60,78
0,80,52,22,34,14,32
0,81,17,5,57,77,14
0,82,3,78,18,41,28
0,83,4,32,51,59,97
0,84,35,84,74,30,77
0,85,83,45,82,75,64
0,86,60,24,42,30,31
0,87,56,2,33,79,68
0,88,29,2,21,63,90
0,89,13,26,56,80,13
0,90,89,78,31,74,35
0,91,43,35,25,39,9
0,92,91,39,87,99,58
0,93,67,17,12,43,7
0,94,88,7,97,14,31
0,95,15,48,86,87,98
0,96,12,1,24,9,31
0,97,68,71,49,50,73
0,98,46,55,37,94,86
0,99,95,46,16,52,47
0,100,70,9,39,72,39
0,101,15,90,7,77,72
0,102,75,99,37,98,99
0,103,71,11,33,95,31
0,104,98,70,34,40,45
0,105,73,32,33,50,16
0,106,85,12,14,19,25
0,107,57,99,4,4,61
0,108,11,68,45,35,22
0,109,18,44,99,21,13
0,110,87,5,63,10,43
0,111,49,44,49,45,84
0,112,24,9,21,0,39
0,113,59,25,57,27,88
