7,95,69,56,42
60,29,63,15,21
62,84,6,89,3
25,11,16,41,31
88,79,70,7,77
45,63,95,25,23
97,63,76,22,3
71,2,36,98,58
35,62,33,92,83
8,10,44,54,62
37,17,57,4,54
39,85,5,22,76
34,7,83,56,6
4,17,81,8,28
5,98,55,99,33
91,46,6,67,13
16,3,49,9,86
10,86,32,21,67
13,19,48,11,90
38,63,67,9,20
1,24,69,83,69
66,85,68,40,59
40,32,86,2,97
86,22,45,22,95
9,18,25,89,52
70,85,23,27,64
49,47,25,11,27
52,71,22,97,41
31,88,67,46,40
31,38,7,53,93
83,18,99,65,96
55,75,68,16,18
27,25,57,42,82
28,88,29,53,45
67,63,46,89,40
63,44,34,16,52
57,32,85,86,82
59,57,33,41,71
21,82,0,0,23
47,18,58,1,58
77,71,66,80,79
55,81,63,56,1
54,45,15,81,43
7,67,46,32,18
5,2,6,27,28
79,83,64,86,17
65,81,41,8,92
14,65,79,57,69
64,60,66,20,62
44,94,34,18,74
40,26,38,86,67
11,97,4,54,28
97,60,44,2,78
62,90,0,57,33
77,52,49,61,97
28,40,28,29,0
43,72,50,1,50
76,9,65,52,71
83,7,44,40,81
69,78,72,71,51
50,93,17,67,74
18,27,28,13,96
91,27,2,2,55
71,1,68,83,78
7,14,10,51,38
33,66,5,7,17
39,64,17,7,27
23,24,3,34,48
58,75,41,32,55
77,21,63,23,91
33,3,64,15,82
89,17,50,37,52
87,52,40,73,87
97,72,28,91,21
6,18,54,19,35
80,62,20,14,76
98,6,8,70,83
73,82,29,58,84
83,16,14,40,95
75,62,9,46,20
92,90,8,22,44
48,31,43,47,23
83,86,87,55,45
80,45,65,31,93
52,23,96,67,33
28,2,85,19,79
87,15,94,86,18
88,44,93,45,84
80,79,65,1,93
95,64,19,19,27
92,67,9,84,56
28,95,56,44,25
38,90,39,68,42
71,79,48,86,44
88,89,35,59,35
55,84,34,32,97
94,66,37,54,15
68,4,20,94,95
12,15,8,9,99
28,38,19,38,21
88,41,49,68,82
26,74,56,71,69
24,84,91,98,5
69,50,12,84,36
72,71,49,3,52
31,38,94,1,87
22,84,0,25,18
27,4,82,45,83
82,13,28,64,95
66,40,33,68,91
14,57,46,2,98
36,64,10,36,54
61,84,1,39,67
94,34,46,85,11
63,15,81,17,6
90,62,79,63,47
84,6,68,14,87
95,17,68,2,66
20,63,0,42,31
64,64,6,21,1
66,46,99,53,35
31,4,36,11,53
90,67,89,38,82
25,11,48,23,57
75,66,51,3,93
44,21,10,45,37
95,47,96,3,46
62,48,55,34,89
4,87,20,69,90
10,36,10,51,22
71,65,55,64,24
26,73,60,83,0
75,75,97,25,34
81,28,72,20,42
76,97,27,39,64
48,41,82,61,71
41,42,76,58,49
84,93,29,91,7
17,70,23,35,31
63,8,43,48,89
28,90,12,39,52
97,48,98,27,7
29,67,35,42,41
27,78,37,32,37
25,8,37,70,63
72,20,95,22,55
73,7,35,57,14
59,74,6,52,21
61,12,76,95,43
30,87,10,64,42
15,56,22,42,95
44,56,62,92,95
33,29,59,16,88
78,95,40,66,24
16,19,85,63,81
89,55,73,31,91
80,99,97,70,98
71,45,52,79,41
12,75,51,23,10
46,22,25,33,28
70,10,53,54,27
49,18,0,79,50
41,78,7,65,90
32,77,96,85,57
94,72,1,44,58
72,38,59,51,42
78,51,80,30,13
30,41,29,31,46
57,14,10,52,48
40,18,48,48,52
47,19,12,89,95
61,59,97,42,92
39,0,41,20,5
96,25,45,44,26
