75,34,69,34,28
31,21,11,23,84
4,21,43,11,17
82,17,25,71,4
14,85,10,18,97
87,75,71,13,11
0,51,7,59,73
74,9,25,40,87
49,16,16,81,84
23,28,22,0,99
25,37,51,83,26
70,72,23,4,94
80,6,66,53,16
42,74,65,0,60
72,71,8,87,7
14,50,81,36,68
50,21,42,19,82
10,18,27,87,79
46,63,73,26,80
7,30,86,26,79
32,90,32,78,34
51,32,54,67,38
7,8,48,13,49
64,29,9,23,32
10,82,30,49,13
6,80,63,48,80
23,96,21,13,13
79,8,15,8,71
26,51,52,24,42
63,81,40,62,26
42,55,56,9,71
87,12,46,23,26
19,20,88,9,84
16,80,70,14,68
33,33,77,18,5
0,95,50,32,77
85,12,90,22,3
26,0,95,19,40
39,40,5,10,59
76,17,72,90,98
15,70,77,14,18
13,62,63,69,79
31,77,90,13,77
61,14,28,48,5
35,88,14,0,42
88,47,20,96,29
57,4,70,47,25
50,45,85,14,32
35,43,8,80,94
61,48,9,83,50
81,80,88,26,50
45,20,20,74,72
49,8,83,1,23
96,48,2,18,9
83,71,38,94,19
19,47,82,42,93
63,80,93,96,25
13,45,27,75,2
96,66,67,28,99
11,50,75,57,26
31,66,22,91,66
31,28,92,16,85
51,31,79,52,54
75,37,31,1,76
18,33,58,1,7
44,52,33,27,62
5,28,76,30,76
0,97,27,63,44
49,42,80,33,91
9,4,38,9,24
65,57,56,5,23
42,86,61,93,31
49,71,83,25,59
4,75,31,1,30
81,15,98,80,14
98,16,69,41,51
1,17,44,9,68
9,3,38,58,40
81,31,18,79,31
89,15,80,34,5
19,39,34,52,60
89,13,82,22,68
17,75,8,51,30
20,45,98,28,68
56,76,70,96,31
53,68,90,56,72
71,43,66,95,65
42,55,72,91,28
80,54,47,3,47
4,62,21,2,7
17,61,83,79,89
39,42,94,53,74
17,67,99,61,33
15,18,2,98,0
89,90,87,96,94
48,46,58,31,76
91,10,69,32,39
70,79,10,75,29
80,37,5,39,46
30,55,11,11,32
62,73,48,50,95
50,90,21,74,48
89,36,18,63,57
30,47,5,82,94
94,98,7,7,64
85,38,43,76,46
61,86,18,41,66
37,66,63,45,87
59,66,62,6,93
80,3,75,60,51
46,51,84,29,0
82,98,93,52,94
43,73,91,75,44
22,5,69,19,62
62,9,4,31,11
6,85,93,95,55
20,9,35,93,47
56,80,34,92,65
8,77,65,12,36
47,51,62,26,91
22,64,36,46,6
73,98,66,75,66
56,54,61,7,35
59,7,37,93,51
68,39,78,88,39
76,59,49,1,73
14,97,33,78,4
26,26,41,85,53
70,17,76,36,2
27,36,23,0,78
58,16,59,24,9
83,3,90,20,28
13,71,65,52,59
24,87,2,49,8
96,83,1,95,30
65,86,12,1,75
65,46,36,98,92
56,38,21,84,73
81,46,37,99,54
87,39,21,46,13
7,17,15,49,88
7,62,0,84,78
38,54,18,75,53
49,57,43,0,82
86,2,72,77,21
80,47,99,74,85
96,60,35,93,33
28,15,77,47,49
74,85,44,0,40
46,12,82,68,90
77,29,32,62,77
70,56,3,16,38
49,8,37,42,87
